surname1;firstname1;surname2;firstname2;surname3;firstname3;surname4;firstname4
Adámek;Milan;;;;;;
Adamík;Zdeněk;;;;;;
Afful-Dadzie;Eric;;;;;;
Almajdalawi;Shawqi;;;;;;
Andrysová;Pavla;;;;;;
Asamoah;Emmanuel Selase;;;;;;
Babayan;Vladimir Artur;;;;;;
Babík;Zdeněk;;;;;;
Babjaková;Eva;;;;;;
Bačuvčík;Radim;;;;;;
Baďurová;Jitka;;;;;;
Balátě;Jaroslav;;;;;;
Balvín;Jaroslav;;;;;;
Baňařová;Michaela;;;;;;
Banyár;Milan;;;;;;
Bařinová;Michaela;Uhlířová;Michaela;;"";;
Baťa;Tomáš;;;;;;
Bažant;Pavel;;;;;;
Bednář;Pavel;;;;;;
Bednařík;Vratislav;;;;;;
Bednařík;Martin;;;;;;
Běhal;Ladislav;;;;;;
Bejtkovský;Jiří;;;;;;
Belás;Jaroslav;;;;;;
Bělašková;Silvie;;;;;;
Bell;Gregory Jason;;;;;;
Beltrán-Prieto;Juan Carlos;;;;;;
Benda;Radek;;;;;;
Beníček;Lubomír;;;;;;
Benlikaya;Ruhan;;;;;;
Berková;Kristýna;Montágová;Kristýna;;"";;
Bernal Ballén;Andrés;;;;;;
Bětík;Martin;;;;;;
Bialic-Davendra;Magdalena Lucyna;;;;;;
Biernátová;Olga;;;;;;
Bílek;Ondřej;;;;;;
Bílek;František;;;;;;
Bilíková;Jana;;;;;;
Blaha;Antonín;;;;;;
Blahová;Michaela;;;;;;
Blahuš;Radek;;;;;;
Blažková;Barbora;;;;;;
Bleyan;Davit;;;;;;
Bližňák;Michal;;;;;;
Bobák;Roman;;;;;;
Bobál;Vladimír;;;;;;
Bočincová;Zuzana;;;;;;
Bondarev;Dmitrij;;;;;;
Bořuta;Roman;;;;;;
Boudová Pečivová;Pavlína;Pečivová;Pavlína;;;;
Branná;Petra;;;;;;
Brázda;Michal;;;;;;
Brázdil;Michal;;;;;;
Brázdilová;Miroslava;;;;;;
Březina;Pavel;;;;;;
Březinová;Olga;;;;;;
